"","type","by","post_id","post_link","post_message","picture","full_picture","link","link_domain","post_published","post_published_unix","post_published_sql","likes_count_fb","comments_count_fb","reactions_count_fb","shares_count_fb","engagement_fb","source"
"63","video","post_page_889307941125736","889307941125736_1315880805135112","https://www.facebook.com/889307941125736/posts/1315880805135112","When they go low...we vote: hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14926445_1315882905134902_8665524294127714304_n.jpg?oh=886778673321bec76d20cd2161274f55&oe=5A99B0E8","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14926445_1315882905134902_8665524294127714304_n.jpg?oh=16ac6fadd85108a89a224aaaa3bc5253&oe=5A98FECA","https://www.facebook.com/hillaryclinton/videos/1315880805135112/","facebook.com","2016-11-05T22:13:54+0000",1478384034,"2016-11-05 23:13:54",35991,6388,40809,4828,52025,"Hillary Clinton"
"64","photo","post_page_889307941125736","889307941125736_1315835788472947","https://www.facebook.com/889307941125736/posts/1315835788472947","Your vote could make all the difference. Confirm where you ll cast your vote for Hillary: hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14925292_1315835788472947_4725437751578948245_n.jpg?oh=b6cec9068d93cb0f8de25c61b9d914a5&oe=5A8C1476","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14925292_1315835788472947_4725437751578948245_n.jpg?oh=7448fe78480d392d96a2240537236375&oe=5A894263","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1315835788472947/?type=3","facebook.com","2016-11-05T21:39:55+0000",1478381995,"2016-11-05 22:39:55",31051,6977,34025,1473,42475,"Hillary Clinton"
"65","video","post_page_889307941125736","889307941125736_1315734051816454","https://www.facebook.com/889307941125736/posts/1315734051816454","The story of this campaign.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14926551_1315752965147896_2448460031092326400_n.jpg?oh=9c2729104c878912dd3ba2a0f5e4206d&oe=5A89227E","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14926551_1315752965147896_2448460031092326400_n.jpg?oh=4ccc0d52acfd5e2df74eb421835bcdc7&oe=5A9C4E5C","https://www.facebook.com/hillaryclinton/videos/1315734051816454/","facebook.com","2016-11-05T20:45:26+0000",1478378726,"2016-11-05 21:45:26",109005,37665,146620,122229,306514,"Hillary Clinton"
"66","photo","post_page_889307941125736","889307941125736_1315608691828990","https://www.facebook.com/889307941125736/posts/1315608691828990","If you believe in a better  stronger  fairer America: vote. hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14900493_1315608691828990_660648971146985322_n.jpg?oh=ae03c55cc7574f92e491b1a300f29cda&oe=5AD3DADE","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14900493_1315608691828990_660648971146985322_n.jpg?oh=58f649ead64519cc23a43a069455f612&oe=5AA3F721","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1315608691828990/?type=3","facebook.com","2016-11-05T18:37:01+0000",1478371021,"2016-11-05 19:37:01",40716,9500,45319,2439,57258,"Hillary Clinton"
"67","video","post_page_889307941125736","889307941125736_1315541978502328","https://www.facebook.com/889307941125736/posts/1315541978502328","Trump basó su campaña en atacar a latinos e inmigrantes.  Ahora  ellos tienen el poder de frenarlo  votando: hillaryclinton.com/planparavotar","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14900146_1315546605168532_1948535784982183936_n.jpg?oh=90ef7b3a49771ace54557207c8732b90&oe=5A9F55E4","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14900146_1315546605168532_1948535784982183936_n.jpg?oh=0ff243e9dd53c21a4e2f472c6de9ba85&oe=5A89A3C6","https://www.facebook.com/hillaryclinton/videos/1315541978502328/","facebook.com","2016-11-05T17:48:38+0000",1478368118,"2016-11-05 18:48:38",15843,6885,18324,4575,29784,"Hillary Clinton"
"68","video","post_page_889307941125736","889307941125736_1315507148505811","https://www.facebook.com/889307941125736/posts/1315507148505811","Hillary Clinton shared Miley Cyrus s video.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14926631_10154793847292147_5435396501679374336_n.jpg?oh=e2620f2c15b90f29e89cda8244b8076a&oe=5A95CB4D","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14926631_10154793847292147_5435396501679374336_n.jpg?oh=fccad7c2a0bbc71599f23d3a7ab64cbf&oe=5A9730BF","https://www.facebook.com/MileyCyrus/videos/10154793841072147/","facebook.com","2016-11-05T17:19:24+0000",1478366364,"2016-11-05 18:19:24",14398,4896,16560,0,21456,"Hillary Clinton"
"69","photo","post_page_889307941125736","889307941125736_1315266255196567","https://www.facebook.com/889307941125736/posts/1315266255196567","Share this if you agree we need to keep moving forward  not back. hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14980847_1315266255196567_3625304693965680005_n.jpg?oh=3f2c837f7e7a0ea79a78a4a69cf86ea3&oe=5A903A2D","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14980847_1315266255196567_3625304693965680005_n.jpg?oh=7f530dae88a1f5e700db5a8819016172&oe=5AD56A38","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1315266255196567/?type=3","facebook.com","2016-11-05T15:55:04+0000",1478361304,"2016-11-05 16:55:04",112863,10501,122354,17739,150594,"Hillary Clinton"
"70","link","post_page_889307941125736","889307941125736_1315199105203282","https://www.facebook.com/889307941125736/posts/1315199105203282","Ask yourself: Is this man fit to be the next president of the United States?","https://external.xx.fbcdn.net/safe_image.php?d=AQAh2i3MinJVvCsN&w=130&h=130&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F05-feed%2F05-Oct%2F-timeline-trump-campaign%2Ftitle-feed-fb-share.jpg&cfs=1&sx=573&sy=0&sw=627&sh=627&_nc_hash=AQBpG_e3aIkB4tj2","https://external.xx.fbcdn.net/safe_image.php?url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F05-feed%2F05-Oct%2F-timeline-trump-campaign%2Ftitle-feed-fb-share.jpg&_nc_hash=AQAMjgDAQlqJ6Lkn","http://hrc.io/2fOcYRU","hrc.io","2016-11-05T14:54:27+0000",1478357667,"2016-11-05 15:54:27",3561,5602,4633,636,10871,"Hillary Clinton"
"71","video","post_page_889307941125736","889307941125736_1315070801882779","https://www.facebook.com/889307941125736/posts/1315070801882779"," That reporter and I have the same condition. When Mr. Trump made fun of him  that hurt my feelings. ","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14926425_1315079365215256_8351026159986671616_n.jpg?oh=d896533147d63da77cfca428f7eb4703&oe=5A980B40","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14926425_1315079365215256_8351026159986671616_n.jpg?oh=dd23190c36051e600bf84e33db62c860&oe=5A947F62","https://www.facebook.com/hillaryclinton/videos/1315070801882779/","facebook.com","2016-11-05T13:35:00+0000",1478352900,"2016-11-05 14:35:00",33155,8555,43952,17416,69923,"Hillary Clinton"
"72","photo","post_page_889307941125736","889307941125736_1315064858550040","https://www.facebook.com/889307941125736/posts/1315064858550040","hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14910533_1315064858550040_3661101066591444032_n.jpg?oh=0a52643a6d15ada25dcc63281fdfdc80&oe=5A8A52A0","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14910533_1315064858550040_3661101066591444032_n.jpg?oh=42f94fe80d1d98c46b477f8081cb896c&oe=5A958FB5","https://www.facebook.com/hillaryclinton/photos/a.891727570883773.1073741830.889307941125736/1315064858550040/?type=3","facebook.com","2016-11-05T13:13:36+0000",1478351616,"2016-11-05 14:13:36",96824,9281,107420,4349,121050,"Hillary Clinton"
"73","photo","post_page_889307941125736","889307941125736_1314526718603854","https://www.facebook.com/889307941125736/posts/1314526718603854","Más de 200 milllones de personas ya se han registrado y el número continúa aumentando. Haz tu plan para votar aquí: hillaryclinton.com/planparavotar","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14947811_1314526718603854_587257831060076024_n.jpg?oh=4912d85462b171bfb25ab43fa660c030&oe=5AA7A368","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14947811_1314526718603854_587257831060076024_n.jpg?oh=671374477920115896b4cc42255ddfc1&oe=5A929F97","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1314526718603854/?type=3","facebook.com","2016-11-05T11:00:01+0000",1478343601,"2016-11-05 12:00:01",24849,6720,27524,1525,35769,"Hillary Clinton"
"74","photo","post_page_889307941125736","889307941125736_1314436675279525","https://www.facebook.com/889307941125736/posts/1314436675279525","La decisión que tomemos en cuatro días tendrá un efecto en nuestro país por décadas. hillaryclinton.com/planparavotar  Comparte esto si estás de acuerdo:","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14925675_1314436675279525_8892450325772517619_n.jpg?oh=4e0fc30881e4c60e0d3b30462a7dfd13&oe=5AA54329","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14925675_1314436675279525_8892450325772517619_n.jpg?oh=d7f3e916a2c4d6a2d2f3760fd52d0a3d&oe=5AD1753C","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1314436675279525/?type=3","facebook.com","2016-11-05T03:59:00+0000",1478318340,"2016-11-05 04:59:00",15690,6652,17530,1599,25781,"Hillary Clinton"
"75","photo","post_page_889307941125736","889307941125736_1314459268610599","https://www.facebook.com/889307941125736/posts/1314459268610599"," I m with her!  —Beyoncé","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14991942_1314459268610599_1515508707166874987_n.jpg?oh=eae2bde8935f57e28392aba79ce6393b&oe=5A962664","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14991942_1314459268610599_1515508707166874987_n.jpg?oh=738d99800d70f37ce6493361f4d69a50&oe=5A919B71","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1314459268610599/?type=3","facebook.com","2016-11-05T03:15:38+0000",1478315738,"2016-11-05 04:15:38",205775,14887,230336,14279,259502,"Hillary Clinton"
"76","photo","post_page_889307941125736","889307941125736_1314433285279864","https://www.facebook.com/889307941125736/posts/1314433285279864","More people are voting in this election than ever before. Make a plan to vote today: hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14947678_1314433285279864_7742290024933222266_n.jpg?oh=3e172de4ffe3be85e756a2ec4171b6e8&oe=5AA42045","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14947678_1314433285279864_7742290024933222266_n.jpg?oh=57040a3d57395182da3d840c5b2c31d8&oe=5A931650","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1314433285279864/?type=3","facebook.com","2016-11-05T03:15:06+0000",1478315706,"2016-11-05 04:15:06",48548,5856,52505,2190,60551,"Hillary Clinton"
"77","photo","post_page_889307941125736","889307941125736_1314361888620337","https://www.facebook.com/889307941125736/posts/1314361888620337","Beyoncé& JAY Z& Hillary& You? hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14980781_1314361888620337_8180214620631134337_n.jpg?oh=e778ad69175cfa531536afccf1e689cb&oe=5AD70A92","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14980781_1314361888620337_8180214620631134337_n.jpg?oh=fc6d791e345a4bcc3c7c692f7cecc5e2&oe=5A8CEF87","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1314361888620337/?type=3","facebook.com","2016-11-05T01:49:13+0000",1478310553,"2016-11-05 02:49:13",162694,11772,184610,12400,208782,"Hillary Clinton"
"78","link","post_page_889307941125736","889307941125736_1314239878632538","https://www.facebook.com/889307941125736/posts/1314239878632538","Donald Trump is running the most divisive  hateful  and dangerous campaign in history. Make a plan to vote  and share this with a friend to keep him out of the White House: hillaryclinton.com/makeaplan","https://external.xx.fbcdn.net/safe_image.php?d=AQAh2i3MinJVvCsN&w=130&h=130&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F05-feed%2F05-Oct%2F-timeline-trump-campaign%2Ftitle-feed-fb-share.jpg&cfs=1&sx=573&sy=0&sw=627&sh=627&_nc_hash=AQBpG_e3aIkB4tj2","https://external.xx.fbcdn.net/safe_image.php?d=AQBb3SYVAvc0JCEP&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F05-feed%2F05-Oct%2F-timeline-trump-campaign%2Ftitle-feed-fb-share.jpg&_nc_hash=AQBTysGeiQMhdHRX","http://hrc.io/2fl2eaF","hrc.io","2016-11-05T00:24:44+0000",1478305484,"2016-11-05 01:24:44",16435,7631,19532,3522,30685,"Hillary Clinton"
"79","photo","post_page_889307941125736","889307941125736_1314028881986971","https://www.facebook.com/889307941125736/posts/1314028881986971","The energy we re seeing on this campaign isn t about what we re against; it s about what we re for—a hopeful  inclusive America where everyone counts and everyone has a place. hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14938396_1314028881986971_1115145262056175446_n.jpg?oh=2d63de95bd4380b42bcf86d3e5bc63bf&oe=5AA31718","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14938396_1314028881986971_1115145262056175446_n.jpg?oh=d4257c668e9f154bd08cb08c1cc1f84c&oe=5AA5F00D","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1314028881986971/?type=3","facebook.com","2016-11-04T22:48:08+0000",1478299688,"2016-11-04 23:48:08",32023,7564,35483,2225,45272,"Hillary Clinton"
"80","video","post_page_889307941125736","889307941125736_1313815992008260","https://www.facebook.com/889307941125736/posts/1313815992008260"," I sorta get away with things like that.  —Donald Trump  on bursting into Miss Universe pageant dressing rooms","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14900299_1313823682007491_1324742929708744704_n.jpg?oh=92a240a30368e473aa5ddf0e90ed27d5&oe=5A9C9E90","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14900299_1313823682007491_1324742929708744704_n.jpg?oh=b21dccd3dfd3982efe75ef42086710f5&oe=5A9005B2","https://www.facebook.com/hillaryclinton/videos/1313815992008260/","facebook.com","2016-11-04T20:22:45+0000",1478290965,"2016-11-04 21:22:45",11031,9315,16727,5692,31734,"Hillary Clinton"
"81","video","post_page_889307941125736","889307941125736_1313694662020393","https://www.facebook.com/889307941125736/posts/1313694662020393"," You are the change makers  the path breakers  and the ground shakers. You are proof that Black Girl Magic is real.  —Hillary hrc.io/2f2kFTr","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14992118_1313701198686406_6418077120559316992_n.jpg?oh=500f34567daf3d50ea2d9890af68ba98&oe=5A9BF265","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14992118_1313701198686406_6418077120559316992_n.jpg?oh=d70f217d0e95c32712f6d0ea4a141e0c&oe=5A8D8D47","https://www.facebook.com/hillaryclinton/videos/1313694662020393/","facebook.com","2016-11-04T18:57:58+0000",1478285878,"2016-11-04 19:57:58",21859,7301,25441,5157,37899,"Hillary Clinton"
"82","photo","post_page_889307941125736","889307941125736_1313549148701611","https://www.facebook.com/889307941125736/posts/1313549148701611","The decision we make in four days will affect our country for decades. hillaryclinton.com/makeaplan  Share this if you agree:","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14908339_1313549148701611_8109653373504862616_n.jpg?oh=e3a3ab5eb6db18c0c1d91b16f9cad989&oe=5A8E993F","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14908339_1313549148701611_8109653373504862616_n.jpg?oh=7bb8b96bfb84bc1ca974607a0fe91192&oe=5AA0C12A","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1313549148701611/?type=3","facebook.com","2016-11-04T17:19:04+0000",1478279944,"2016-11-04 18:19:04",61028,10350,66417,8134,84901,"Hillary Clinton"
"83","video","post_page_889307941125736","889307941125736_1313510955372097","https://www.facebook.com/889307941125736/posts/1313510955372097","Hillary Clinton shared Al Gore s video.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14900045_10154161587503865_5713031524224335872_n.jpg?oh=b56866e690429000dbaa6439898fdd1f&oe=5A8C0EF0","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14900045_10154161587503865_5713031524224335872_n.jpg?oh=ae79a38f9dd08f8c511a06355ca2808c&oe=5A908A02","https://www.facebook.com/algore/videos/10154161582928865/","facebook.com","2016-11-04T16:56:09+0000",1478278569,"2016-11-04 17:56:09",10979,4080,12115,0,16195,"Hillary Clinton"
"84","video","post_page_889307941125736","889307941125736_1313415592048300","https://www.facebook.com/889307941125736/posts/1313415592048300","Hillary Clinton shared Humanity for Progress s video.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14926376_393649220975536_8184719318274015232_n.jpg?oh=4b9e6d3de5dc9a66f1c580ee981c5477&oe=5AA88C66","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14926376_393649220975536_8184719318274015232_n.jpg?oh=73ecc547d75dceccbfc7827b9a9038f6&oe=5A9B7DDC","https://www.facebook.com/HumanityforProgress/videos/393642524309539/","facebook.com","2016-11-04T16:10:00+0000",1478275800,"2016-11-04 17:10:00",13363,4647,16524,1,21172,"Hillary Clinton"
"85","video","post_page_889307941125736","889307941125736_1313382152051644","https://www.facebook.com/889307941125736/posts/1313382152051644","Will Ferrell: comedian  actor  just your average millennial.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14926323_1313414475381745_8801926859106287616_n.jpg?oh=20050cee5e8dc4a576baf7959c078a81&oe=5A9EEC4A","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14926323_1313414475381745_8801926859106287616_n.jpg?oh=bb5f9be2d3925284f1e40e2d03c6e602&oe=5AA79068","https://www.facebook.com/hillaryclinton/videos/1313382152051644/","facebook.com","2016-11-04T15:59:00+0000",1478275140,"2016-11-04 16:59:00",76938,13290,97460,46731,157481,"Hillary Clinton"
"86","photo","post_page_889307941125736","889307941125736_1313029225420270","https://www.facebook.com/889307941125736/posts/1313029225420270"," The good news is  all of you are uniquely qualified to make sure this guy who is uniquely unqualified does not become President. You just got to vote. You just got to vote. And the nice thing is  you don’t just have to vote against that guy because you’ve got a candidate who is actually worthy of your vote—who is smart  and who is steady  and who is tested  is probably the most qualified person ever to run for this office  and that is the next President of the United States  Hillary Clinton.  Hillary  she just works through whatever is in front of her. She’s got grit and she’s got resilience. And if she gets knocked down  she just comes back up and she goes back at it. And she knows  most importantly  what the decisions that a President makes means to you.    This isn’t abstract stuff we’re talking about here. If you’re a student  whether you get a Pell grant or were able to make sure that you don’t have a mountain of debt when you get out of school  that depends on decisions that are made in part by the President. If you’re a soldier  whether you get deployed to some far-off land  that is up to the Commander-in-Chief. If you’re a young person who was brought to this country as a child  has grown up as an American but maybe doesn’t have the papers and now you’re trying to figure out how you can contribute to this country you call home  that is something the President has influence over. Veterans  seniors  a single mom who needs some help with child care—that’s what these decisions are about. And Hillary understands that  and she knows those folks need a champion.  And she’s actually got plans to help. She’s actually got plans. The other guy is not a big plan guy. She’s got plans. She can show you how she’s going to make sure more people have early childhood education. She’s going to show how young people can have more affordable college education. And while she’s executing those plans  she’s also going to respect working Americans and the values we care about.  —President Obama","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14915585_1313029225420270_5873361170409248446_n.jpg?oh=de5d12ed83bb37caba3e79d8bf779962&oe=5A92FC87","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14915585_1313029225420270_5873361170409248446_n.jpg?oh=73fee0e3e71f2cadc1e748631e102b94&oe=5AA00592","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1313029225420270/?type=3","facebook.com","2016-11-04T13:30:02+0000",1478266202,"2016-11-04 14:30:02",30836,9293,34735,3233,47261,"Hillary Clinton"
"87","photo","post_page_889307941125736","889307941125736_1312384335484759","https://www.facebook.com/889307941125736/posts/1312384335484759","Comparte esto si piensas que los niños y las familias merecen a alguien que luche por ellos en la Casa Blanca. hillaryclinton.com/planparavotar","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14650275_1312384335484759_6442353226050000153_n.jpg?oh=d4e3c205ee51bab8316a3a0c6dc60325&oe=5AA17D1F","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14650275_1312384335484759_6442353226050000153_n.jpg?oh=dc5a3cf594a52e0fc297f4031b90348c&oe=5A90EB0A","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1312384335484759/?type=3","facebook.com","2016-11-04T04:30:01+0000",1478233801,"2016-11-04 05:30:01",9570,6022,10872,1417,18311,"Hillary Clinton"
"88","video","post_page_889307941125736","889307941125736_1312547962135063","https://www.facebook.com/889307941125736/posts/1312547962135063"," I m also honored to have the greatest temperament that anybody has.  —Donald Trump  About that:","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14768063_1312550768801449_2642550509436665856_n.jpg?oh=f03b3f493bfc37f905a2613cf142bb76&oe=5AA2C5D4","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14768063_1312550768801449_2642550509436665856_n.jpg?oh=eee27ea51356f42dfaac7b31daef84c4&oe=5A95EFF6","https://www.facebook.com/hillaryclinton/videos/1312547962135063/","facebook.com","2016-11-04T03:30:00+0000",1478230200,"2016-11-04 04:30:00",18442,9739,24799,7814,42352,"Hillary Clinton"
"89","video","post_page_889307941125736","889307941125736_1312377438818782","https://www.facebook.com/889307941125736/posts/1312377438818782","Imagine a president who said all of these things.","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14900173_1312384302151429_1122925513141125120_n.jpg?oh=6c9c66f1c7cbc30b3286d69e7438d7f6&oe=5A9D2DA7","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14900173_1312384302151429_1122925513141125120_n.jpg?oh=8ef4399d61ae8afe2a0a88e54b4e1fd1&oe=5AD4D185","https://www.facebook.com/hillaryclinton/videos/1312377438818782/","facebook.com","2016-11-04T02:00:00+0000",1478224800,"2016-11-04 03:00:00",16461,8117,20355,6898,35370,"Hillary Clinton"
"90","video","post_page_889307941125736","889307941125736_1312102485512944","https://www.facebook.com/889307941125736/posts/1312102485512944","The Central Park Five were exonerated. What does it say about Trump that he thinks they should still be in prison?","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14646066_1312112688845257_6381453148447309824_n.jpg?oh=a15353720868e506de99be2546e51058&oe=5A9CC22E","https://scontent.xx.fbcdn.net/v/t15.0-10/14646066_1312112688845257_6381453148447309824_n.jpg?oh=93dc753ac6a6288f9190b2dbc79b8583&oe=5A8E8055","https://www.facebook.com/hillaryclinton/videos/1312102485512944/","facebook.com","2016-11-04T01:04:41+0000",1478221481,"2016-11-04 02:04:41",20918,7358,23722,2900,33980,"Hillary Clinton"
"91","video","post_page_889307941125736","889307941125736_1312243758832150","https://www.facebook.com/889307941125736/posts/1312243758832150","Join Hillary on the trail in North Carolina with Bernie Sanders and Pharrell Williams. hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14900309_1312361135487079_9036566772232224768_n.jpg?oh=42f5297695cc854c767c080ee514ad2e&oe=5A92DA44","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14900309_1312361135487079_9036566772232224768_n.jpg?oh=82ab18595ee77aa84bf34402547f7839&oe=5A957766","https://www.facebook.com/hillaryclinton/videos/1312243758832150/","facebook.com","2016-11-04T00:00:52+0000",1478217652,"2016-11-04 01:00:52",108168,213721,175962,23029,412712,"Hillary Clinton"
"92","link","post_page_889307941125736","889307941125736_1311905695532623","https://www.facebook.com/889307941125736/posts/1311905695532623","Hillary Clinton shared Hillary for America s post.","https://external.xx.fbcdn.net/safe_image.php?d=AQC9vy3-QzMwsntQ&w=130&h=130&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F12-tools%2Fpicker-fb-share-app.png&cfs=1&_nc_hash=AQDNEn4KCQaCtNEH","https://external.xx.fbcdn.net/safe_image.php?d=AQBESAhpO1yrDQMs&url=https%3A%2F%2Fm.hrc.onl%2Fsecretary%2F12-tools%2Fpicker-fb-share-app.png&_nc_hash=AQCJ405j_83apCp8","http://hrc.io/2eYr1TD","hrc.io","2016-11-03T20:45:00+0000",1478205900,"2016-11-03 21:45:00",8255,7568,9248,0,16816,"Hillary Clinton"
"93","photo","post_page_889307941125736","889307941125736_1311905142199345","https://www.facebook.com/889307941125736/posts/1311905142199345","First lady of Arkansas First lady of the United States Senator Secretary of state President? That s up to you: hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14900327_1311905142199345_1707807213239658522_n.jpg?oh=22e0690899d4cc4f97c58aeb25398fb1&oe=5AA0038D","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14900327_1311905142199345_1707807213239658522_n.jpg?oh=1ef3967b6d44556649cfb25a7eb20332&oe=5AA63798","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1311905142199345/?type=3","facebook.com","2016-11-03T19:58:19+0000",1478203099,"2016-11-03 20:58:19",48659,10310,54627,2947,67884,"Hillary Clinton"
"94","photo","post_page_889307941125736","889307941125736_1311761682213691","https://www.facebook.com/889307941125736/posts/1311761682213691","Don’t miss out! Join them: hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/14908377_1311761682213691_2791204312636467954_n.png?oh=583f484a6f2cb2f9f673cb1c73378021&oe=5A8D14EA","https://scontent.xx.fbcdn.net/v/t31.0-8/s720x720/14884641_1311761682213691_2791204312636467954_o.png?oh=7b47484575b6af2f7f95a9c69e434408&oe=5A938352","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1311761682213691/?type=3","facebook.com","2016-11-03T18:28:20+0000",1478197700,"2016-11-03 19:28:20",12902,6405,14371,532,21308,"Hillary Clinton"
"95","video","post_page_889307941125736","889307941125736_1311524512237408","https://www.facebook.com/889307941125736/posts/1311524512237408","Trump has built his campaign on demonizing Latinos and immigrants.  Latino voters have the power to stop him. Vote: hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t15.0-10/s130x130/14926320_1311531878903338_8318470595645800448_n.jpg?oh=62e6637ac34bd49b7df9f84657ecc557&oe=5A98B537","https://scontent.xx.fbcdn.net/v/t15.0-10/s720x720/14926320_1311531878903338_8318470595645800448_n.jpg?oh=06c940cbc7846b8a275fd66df5e0c8c5&oe=5AA13015","https://www.facebook.com/hillaryclinton/videos/1311524512237408/","facebook.com","2016-11-03T16:58:03+0000",1478192283,"2016-11-03 17:58:03",19387,9198,23250,7154,39602,"Hillary Clinton"
"96","photo","post_page_889307941125736","889307941125736_1311363455586847","https://www.facebook.com/889307941125736/posts/1311363455586847","Share this if you think kids and families deserve a champion in the White House. hillaryclinton.com/makeaplan","https://scontent.xx.fbcdn.net/v/t1.0-0/p130x130/14908180_1311363455586847_2826570055035762776_n.jpg?oh=3c712cf6bec483e4f4e3ecb115220489&oe=5AA7AD09","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/14908180_1311363455586847_2826570055035762776_n.jpg?oh=fa050473ee9b8522041f0d6c0333104a&oe=5AA3631C","https://www.facebook.com/hillaryclinton/photos/a.889773484412515.1073741828.889307941125736/1311363455586847/?type=3","facebook.com","2016-11-03T15:41:36+0000",1478187696,"2016-11-03 16:41:36",52169,8834,57364,7149,73347,"Hillary Clinton"
